物理耐性	物理属性攻撃に対する耐性を強化する。		マカミ、アレス
物理無効	物理属性攻撃性を無効化する。		セイテンタイセイ
物理反射	物理属性攻撃を反射する。		
物理吸収	物理属性攻撃を吸収する。		
銃耐性	銃属性攻撃に対する耐性を強化する。		カマソッソ、グレンデル
銃無効	銃属性攻撃を無効化する。		
銃反射	銃属性攻撃を反射する。		オンギョウキ
銃吸収	銃属性攻撃を吸収する。		イグドラジル
火炎耐性	火炎属性攻撃に対する耐性を強化する。		ズェラロンズ
火炎無効	火炎属性攻撃を無効化する。		ゾウチョウテン、ゲンブ
火炎反射	火炎属性攻撃を反射する。		トナティウ
火炎吸収	火炎属性攻撃を吸収する。		
氷結耐性	氷結属性攻撃に対する耐性を強化する。		マカラ
氷結無効	氷結属性攻撃を無効化する。		
氷結反射	氷結属性攻撃を反射する。		
氷結吸収	氷結属性攻撃を吸収する。		イスラフィール
電撃耐性	電撃属性攻撃に対する耐性を強化する。		ナーガ
電撃無効	電撃属性攻撃を無効化する。		コウモクテン
電撃反射	電撃属性攻撃を反射する。		
電撃吸収	電撃属性攻撃を吸収する。		ツィツィミトル
疾風耐性	疾風属性攻撃に対する耐性を強化する。		
疾風無効	疾風属性攻撃を無効化する。		セイリュウ
疾風反射	疾風属性攻撃を反射する。		ガネーシャ
疾風吸収	疾風属性攻撃を吸収する。		モト
破魔耐性	破魔属性攻撃に対する耐性を強化する。		アピス
破魔無効	破魔属性攻撃を無効化する。		キウン
呪殺耐性	呪殺属性攻撃に対する耐性を強化する。		インフェルノ
呪殺無効	呪殺属性攻撃を無効化する。		ヴィクター
精神異常無効	状態異常（睡眠・魅了・封・恐怖・消沈）を無効化。		キンマモン、ショクイン
身体異常無効	状態異常（毒・麻痺・石化・爆弾）を無効化。		トウテツ
火炎ブースタ	火炎属性攻撃時の攻撃力を1.25倍にする。		オグン、オルトロス
火炎ハイブースタ	火炎属性攻撃時の攻撃力を1.5倍にする。		スザク、スルト
氷結ブースタ	氷結属性攻撃時の攻撃力を1.25倍にする。		フロストエース、スカディ
氷結ハイブースタ	氷結属性攻撃時の攻撃力を1.5倍にする。		ビシャモンテン
電撃ブースタ	電撃属性攻撃時の攻撃力を1.25倍にする。		ライジュウ、サンダーバード、キマイラ
電撃ハイブースタ	電撃属性攻撃時の攻撃力を1.5倍にする。		ビャッコ、トール
疾風ブースタ	疾風属性攻撃時の攻撃力を1.25倍にする。		スパルナ、クラマテング
疾風ハイブースタ	疾風属性攻撃時の攻撃力を1.5倍にする。		ジコクテン
物理ブースタ	物理属性攻撃時の攻撃力を1.25倍にする。		
物理ハイブースタ	物理属性攻撃時の攻撃力を1.5倍にする。		
銃ブースタ	銃属性攻撃時の攻撃力を1.25倍にする。		
銃ハイブースタ	銃属性攻撃時の攻撃力を1.5倍にする。		
回復ブースタ	回復時の回復値を1.25倍する。		
回復ハイブースタ	回復時の回復値を1.5倍する。	
反撃	物理もしくは銃属性の攻撃を受けたとき、一定確率で反撃する。		
猛反撃	物理もしくは銃属性の攻撃を受けたとき、一定確率で威力を1.5倍にして反撃する。		ヤマタノオロチ
食いしばり	死亡したとき、1回だけHP1で復活する。		ガネーシャ
不屈の闘志	死亡したとき、1回だけHP全回復で復活する。		ハヌマーン
勝利の息吹	戦闘終了時、自分のHPが10%回復する。		
勝利のチャクラ	戦闘終了時、自分のMPが１％回復する。		
勝利の雄叫び	戦闘終了時、自分のHPとMPを全回復する。		コウリュウ、シヴァ
アボイドスリーパ	睡眠状態のとき、攻撃に対する回避率が100%。		マメダヌキ
ラプラスの魔	戦闘開始時に解析度100%の敵がいた場合、攻撃力・防御力・命中・回避率を下げる。		ノルン、ゴモリー
追撃の心得	デビルCO-OP参加時、攻撃力が上昇する。		タケミナカタ
生命の泉	召喚されている間、一定距離歩くごとにHPが3%回復する。		
チャクラウォーク	召喚されている間、一定距離を歩くごとにMPが５回復する。	
一分の活泉	HPを10%アップする。		
二分の活泉	HPを20%アップする。		
三分の活泉	HPを30%アップする。		
一分の魔脈	MPを10%アップする。		
二分の魔脈	MPを20%アップする。		
三分の魔脈	MPを30%アップする。		
見覚えの成長	戦闘に参加していなくても経験値が得られる。		イヌガミ
見覚えの大成長	戦闘に参加していなくても経験値が得られる。効果大。		イナバシロウサギ、ショクイン
自動回復			
自動ダメージ			
永久の咎罰			
不負の法	
